file_path,status,bitrate,channels,duration,format_name,mime_type,file_size_bytes,error_message,absolute_path,probe_raw_output
001_000_FWV268396.flac,Error,,,,,,267711,Unable to probe file,/Users/jcoulter/Projects/audio-tools/Audio/FWV268396_1753687851.592822/001_000_FWV268396.flac,
002_000_FWV268396.flac,Error,,,,,,9461659,Unable to probe file,/Users/jcoulter/Projects/audio-tools/Audio/FWV268396_1753687851.592822/002_000_FWV268396.flac,
003_001_FWV268396.flac,Error,,,,,,24324474,Unable to probe file,/Users/jcoulter/Projects/audio-tools/Audio/FWV268396_1753687851.592822/003_001_FWV268396.flac,
004_002_FWV268396.flac,Error,,,,,,38872383,Unable to probe file,/Users/jcoulter/Projects/audio-tools/Audio/FWV268396_1753687851.592822/004_002_FWV268396.flac,
005_003_FWV268396.flac,Error,,,,,,44902022,Unable to probe file,/Users/jcoulter/Projects/audio-tools/Audio/FWV268396_1753687851.592822/005_003_FWV268396.flac,
006_004_FWV268396.flac,Error,,,,,,41984090,Unable to probe file,/Users/jcoulter/Projects/audio-tools/Audio/FWV268396_1753687851.592822/006_004_FWV268396.flac,
